trip_id,route_id,action,minimum_time,maximum_time,stop_id,latest_information_time,unique_trip_id
083800_7..N,7,STOPPED_OR_SKIPPED,1559415026.0,1559415045.0,726N,1559415045,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415225.0,1559415237.0,725N,1559415237,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415317.0,1559415327.0,724N,1559415327,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415417.0,1559415437.0,723N,1559415437,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415605.0,1559415617.0,721N,1559415617,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415697.0,1559415707.0,720N,1559415707,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415817.0,1559415835.0,719N,1559415835,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559415998.0,1559416015.0,718N,1559416015,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559416468.0,1559416488.0,712N,1559416488,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559416976.0,1559416989.0,707N,1559416989,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559417229.0,1559417296.0,702N,1559417249,083800_7..N_1559408289
083800_7..N,7,STOPPED_OR_SKIPPED,1559417369.0,1559417369.0,701N,1559417369,083800_7..N_1559408289
053400_7..N,7,STOPPED_OR_SKIPPED,1559393472.0,1559393488.0,726N,1559393488,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559393622.0,1559393638.0,725N,1559393638,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559393728.0,1559393742.0,724N,1559393742,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559393808.0,1559393822.0,723N,1559393822,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394003.0,1559394018.0,721N,1559394018,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394078.0,1559394093.0,720N,1559394093,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394188.0,1559394203.0,719N,1559394203,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394353.0,1559394368.0,718N,1559394368,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394919.0,1559394934.0,712N,1559394934,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559394919.0,1559395739.0,707N,1559394934,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559395925.0,1559395940.0,702N,1559395940,053400_7..N_1559390048
053400_7..N,7,STOPPED_OR_SKIPPED,1559396080.0,1559396080.0,701N,1559396080,053400_7..N_1559390048
050200_7..N,7,STOPPED_OR_SKIPPED,1559391870.0,1559391886.0,726N,1559391886,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559391976.0,1559391990.0,725N,1559391990,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392070.0,1559392087.0,724N,1559392087,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392160.0,1559392177.0,723N,1559392177,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392357.0,1559392371.0,721N,1559392371,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392451.0,1559392467.0,720N,1559392467,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392571.0,1559392587.0,719N,1559392587,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559392741.0,1559392751.0,718N,1559392751,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559393318.0,1559393332.0,712N,1559393332,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559393318.0,1559394233.0,707N,1559393332,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559394448.0,1559394463.0,702N,1559394463,050200_7..N_1559388145
050200_7..N,7,STOPPED_OR_SKIPPED,1559394569.0,1559394569.0,701N,1559394569,050200_7..N_1559388145
131750_7..N,7,STOPPED_OR_SKIPPED,1559440299.0,1559440695.0,726N,1559440315,131750_7..N_1559437063
131750_7..N,7,STOPPED_OR_SKIPPED,1559440846.0,1559440860.0,725N,1559440860,131750_7..N_1559437063
131750_7..N,7,STOPPED_OR_SKIPPED,1559440936.0,1559440950.0,724N,1559440950,131750_7..N_1559437063
131750_7..N,7,STOPPED_OR_SKIPPED,1559441016.0,1559441030.0,723N,1559441030,131750_7..N_1559437063
